name,headline,location,company,category,score,conversation_starter,linkedin_url
Vidit Aatrey,Founder & CEO at Meesho,"Bangalore, Karnataka, India",Meesho,Consumer Tech,65,"Hi Vidit Aatrey! I noticed you're building Meesho in consumer tech from Bangalore, Karnataka, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/vidit-aatrey
Falguni Nayar,Founder & CEO at Nykaa,"Mumbai, Maharashtra, India",Nykaa,Consumer Tech,65,"Hi Falguni Nayar! I noticed you're building Nykaa in consumer tech from Mumbai, Maharashtra, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/falguni-nayar
Manish Taneja,Co-founder & CEO at Purplle,"Mumbai, Maharashtra, India",Purplle,Consumer Tech,65,"Hi Manish Taneja! I noticed you're building Purplle in consumer tech from Mumbai, Maharashtra, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/manish-taneja
Mukesh Bansal,Co-founder at Myntra,"Bangalore, Karnataka, India",Myntra,Consumer Tech,65,"Hi Mukesh Bansal! I noticed you're building Myntra in consumer tech from Bangalore, Karnataka, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/mukesh-bansal-myntra
Kunal Bahl,Co-founder & CEO at Snapdeal,"Delhi, India",Snapdeal,Consumer Tech,65,"Hi Kunal Bahl! I noticed you're building Snapdeal in consumer tech from Delhi, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/kunal-bahl
Pranay Chulet,Founder & CEO at Quikr,"Bangalore, Karnataka, India",Quikr,Consumer Tech,65,"Hi Pranay Chulet! I noticed you're building Quikr in consumer tech from Bangalore, Karnataka, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/pranay-chulet
Rajesh Patel,Founder at TeleMed India,"Delhi, India",TeleMed India,Health,65,"Hi Rajesh Patel! I noticed you're building TeleMed India in healthcare from Delhi, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/rajesh-patel-telemed
Shashank ND,Founder & CEO at Practo,"Bangalore, Karnataka, India",Practo,Health,60,"Hi Shashank ND! I noticed you're building Practo in healthcare from Bangalore, Karnataka, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/shashanknd
Pradeep Dadha,Founder & CEO at Netmeds,"Chennai, Tamil Nadu, India",Netmeds,Health,60,"Hi Pradeep Dadha! I noticed you're building Netmeds in healthcare from Chennai, Tamil Nadu, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/pradeep-dadha
Sameer Maheshwari,Founder & CEO at Healthkart,"Gurgaon, Haryana, India",Healthkart,Health,60,"Hi Sameer Maheshwari! I noticed you're building Healthkart in healthcare from Gurgaon, Haryana, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/sameer-maheshwari
Ashish Gupta,Founder & CEO at DocPrime,"Gurgaon, Haryana, India",DocPrime,Health,60,"Hi Ashish Gupta! I noticed you're building DocPrime in healthcare from Gurgaon, Haryana, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/ashish-gupta-docprime
Sachin Bansal,Co-founder at Flipkart,"Bangalore, Karnataka, India",Flipkart,Consumer Tech,60,"Hi Sachin Bansal! I noticed you're building Flipkart in consumer tech from Bangalore, Karnataka, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/sachin-bansal
Binny Bansal,Co-founder at Flipkart,"Bangalore, Karnataka, India",Flipkart,Consumer Tech,60,"Hi Binny Bansal! I noticed you're building Flipkart in consumer tech from Bangalore, Karnataka, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/binny-bansal
Radhika Aggarwal,Co-founder & CBO at ShopClues,"Gurgaon, Haryana, India",ShopClues,Consumer Tech,60,"Hi Radhika Aggarwal! I noticed you're building ShopClues in consumer tech from Gurgaon, Haryana, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/radhika-aggarwal
Alec Oxenford,Co-founder at OLX India,"Gurgaon, Haryana, India",OLX India,Consumer Tech,60,"Hi Alec Oxenford! I noticed you're building OLX India in consumer tech from Gurgaon, Haryana, India. Your work in digital commerce is impressive. Would love to discuss the consumer tech landscape and growth opportunities in India.",https://www.linkedin.com/in/alec-oxenford
